state,total_holdings_thousands,operated_area_lakh_ha,operated_area_ha,smallholder_area_ha,smallholder_farmers,fire_count,avg_frp,total_frp,credits_low_tonnes,credits_high_tonnes,gap_low_crore,gap_high_crore,per_farmer_low_inr,per_farmer_high_inr
Uttar Pradesh,23820,174.3,17430000.0,15026403.0,20535222,1165.0,10.371587982832617,12082.9,18482475.69,29602013.91,771.6433600575,3707.6522422275,375.76577455919397,1805.5087216624686
Bihar,16410,60.9,6090000.0,5250189.0,14147061,32.0,7.309375,233.9,6457732.47,10342872.33,269.6103306225,1295.4447593324999,190.57691956124313,915.6988574040219
Maharashtra,14710,198.5,19850000.0,17112685.0,12681491,650.0,14.365384615384615,9337.5,21048602.55,33711989.45,878.7791564625,4222.426678612501,692.962015635622,3329.597977566282
Karnataka,10460,118.7,11870000.0,10233127.0,9017566,165.0,18.668484848484848,3080.3,12586746.209999999,20159260.19,525.4966542675,2524.9473387975004,582.747777246654,2800.032002868069
Andhra Pradesh,9280,95.4,9540000.0,8224434.0,8000288,67.0,11.353731343283583,760.7,10116053.82,16202134.98,422.345246985,2029.317406245,527.9125538793103,2536.5554418103447
Madhya Pradesh,8900,197.2,19720000.0,17000612.0,7672690,735.0,11.62938775510204,8547.6,20910752.759999998,33491205.64,873.02392773,4194.77350641,1137.8329213483146,5467.1484269662915
Tamil Nadu,8750,60.2,6020000.0,5189842.0,7543375,45.0,13.846666666666668,623.1,6383505.66,10223988.74,266.51136130500004,1280.554589685,353.3052,1697.5884
Rajasthan,7740,208.7,20870000.0,17992027.0,6672654,986.0,18.64898580121704,18387.9,22130193.21,35444293.19,923.9355665175001,4439.3977220475,1384.6597868217057,6653.121414728682
West Bengal,7110,55.6,5560000.0,4793276.0,6129531,41.0,8.602439024390243,352.7,5895729.4799999995,9442753.72,246.14670579,1182.70490343,401.5751054852321,1929.5194092827005
Odisha,6380,61.8,6180000.0,5327778.0,5500198,203.0,12.389655172413793,2515.1,6553166.9399999995,10495722.66,273.59471974499996,1314.589263165,497.42703761755484,2390.0762539184952
Gujarat,5550,119.3,11930000.0,10284853.0,4784655,101.0,17.088118811881188,1725.9,12650369.19,20261160.41,528.1529136825,2537.7103413524997,1103.8474324324325,5303.852297297297
Telangana,5790,56.9,5690000.0,4905349.0,4991559,0.0,0.0,,6033579.27,9663537.53,251.9019345225,1210.3580756324998,504.65582901554404,2424.8097150259064
Chhattisgarh,4660,47.8,4780000.0,4120838.0,4017386,2.0,7.55,15.1,5068630.74,8118050.86,211.61533339500002,1016.7858702149999,526.7488197424893,2530.9638412017166
Jharkhand,4130,24.9,2490000.0,2146629.0,3560473,8.0,7.5625,60.5,2640353.67,4228859.13,110.23476572249999,529.6646060324999,309.6070823244552,1487.6242736077481
Punjab,2260,41.8,4179999.9999999995,3603577.9999999995,1948346,7672.0,16.325951511991658,125252.7,4432400.9399999995,7099048.659999999,185.05273924499997,889.155844665,949.7940265486724,4563.644469026549
Haryana,1720,35.6,3560000.0,3069076.0,1482812,163.0,12.426993865030674,2025.6,3774963.48,6046079.72,157.60472528999998,757.27148493,1062.8773255813953,5106.995930232558
Assam,3740,28.6,2860000.0,2465606.0,3224254,67.0,12.531343283582089,839.6,3032695.38,4857243.82,126.61503211499999,608.3697884550002,392.69558823529405,1886.8544117647061
Kerala,6300,19.7,1970000.0,1698337.0,5431230,0.0,0.0,,2088954.51,3345723.89,87.21385079250001,419.0519172225,160.5784523809524,771.5598809523809
Uttarakhand,890,7.9,790000.0,681059.0,767269,14.0,12.35,172.9,837702.57,1341686.23,34.9740822975,168.04620030750002,455.82556179775275,2190.1862359550564
Himachal Pradesh,950,9.7,969999.9999999999,836236.9999999999,818995,9.0,28.41111111111111,255.7,1028571.5099999999,1647386.8899999997,42.9428605425,206.33520797249994,524.3360526315789,2519.3707894736835
